order_id,customer_id,date,platform,sku,base_price,discount_rate,revenue,returned
ORD-00000,CUST-0000,2024-05-15,Amazon,WaterSound S2,149.95,0.009189233255395057,0.0,True
ORD-00001,CUST-0000,2024-04-23,Amazon,AudioPro X1,179.95,0.02448929339941204,175.54315165277578,False
ORD-00002,CUST-0001,2024-10-16,Shopify,AudioPro X1,179.95,0.012873948807186243,177.6333329121468,False
ORD-00003,CUST-0002,2024-06-04,Amazon,AudioPro X1,179.95,0.013837706597565431,177.45990469776808,False
ORD-00004,CUST-0002,2024-05-09,Amazon,ComfortFit C3,169.95,0.019391713478554718,166.6543782943196,False
ORD-00005,CUST-0003,2024-04-02,Shopify,AudioPro X1,179.95,0.01681616971351668,176.92393026005269,False
ORD-00006,CUST-0003,2024-04-30,Amazon,ComfortFit C3,169.95,0.003155318455777312,169.41375362844065,False
ORD-00007,CUST-0004,2024-09-01,Amazon,WaterSound S2,149.95,0.011830489135375367,148.17601815415046,False
ORD-00008,CUST-0005,2024-02-21,Amazon,AudioPro X1,179.95,0.042283367454938575,172.3411080264838,False
ORD-00009,CUST-0006,2024-05-23,Amazon,AudioPro X1,179.95,0.028840395981912792,174.76017074305477,False
ORD-00010,CUST-0007,2024-05-29,Amazon,ActiveMove A4,79.95,0.03595378102554059,77.07549520700803,False
ORD-00011,CUST-0007,2024-06-16,Amazon,WaterSound S2,149.95,0.02108563087629582,146.78820965009945,False
ORD-00012,CUST-0008,2024-09-16,Amazon,ActiveMove A4,79.95,0.017509934051160952,78.55008077260969,False
ORD-00013,CUST-0009,2024-05-15,Shopify,ActiveMove A4,79.95,0.04831371488740929,76.08731849475163,False
ORD-00014,CUST-0010,2024-04-12,Shopify,AudioPro X1,179.95,0.04240907491399736,172.31848696922617,False
ORD-00015,CUST-0010,2024-06-06,Amazon,ActiveMove A4,79.95,0.014095917779862584,78.82303137349999,False
ORD-00016,CUST-0011,2024-07-26,Amazon,AudioPro X1,179.95,0.027366234216974306,175.02544615265546,False
ORD-00017,CUST-0012,2024-06-18,Amazon,AudioPro X1,179.95,0.02796090658842291,0.0,True
ORD-00018,CUST-0013,2024-06-10,Shopify,AudioPro X1,179.95,0.04303339108944426,172.2061412734545,False
ORD-00019,CUST-0013,2024-06-23,Amazon,WaterSound S2,149.95,0.028783262649870984,145.63394976565183,False
ORD-00020,CUST-0013,2024-06-29,Amazon,AudioPro X1,179.95,0.008029684752165428,178.50505822884782,False
ORD-00021,CUST-0014,2024-10-29,Amazon,ActiveMove A4,79.95,0.015484585555259457,78.71200738485702,False
ORD-00022,CUST-0015,2024-11-03,Shopify,WaterSound S2,149.95,0.009202238602510677,148.57012432155352,False
ORD-00023,CUST-0016,2024-08-15,Amazon,AudioPro X1,179.95,0.04977554840079332,170.99289006527724,False
ORD-00024,CUST-0017,2024-10-15,Amazon,ComfortFit C3,169.95,0.006517656502163277,168.84232427745735,False
ORD-00025,CUST-0017,2024-10-18,Amazon,AudioPro X1,179.95,0.040428526707369516,172.67488661900884,False
ORD-00026,CUST-0018,2024-07-11,Amazon,ActiveMove A4,79.95,0.004335328379782011,79.60339049603643,False
ORD-00027,CUST-0019,2024-01-26,Amazon,WaterSound S2,149.95,0.04884827730633113,142.62520081791564,False
